Id,label,Count,Fname,Mname,Lname
603,Thomas Braun,2,Thomas,,Braun
921,Natan Braverman,2,Natan,,Braverman
1216,Sandee Brawarsky,2,Sandee,,Brawarsky
3004,Avraham Yaakov Brawer,1,Avraham,Yaakov,Brawer
2958,Jakob Brawer,1,Jakob,,Brawer
3528,John Bartlet Brebner,1,John,Bartlet,Brebner
1631,Dvora Bregman,2,Dvora,,Bregman
1990,Marc Bregman,2,Marc,,Bregman
1805,Yitzchok Breitowitz,2,Yitzchok,,Breitowitz
876,Ann Brenner,2,Ann,,Brenner
3018,Michael Brenner,1,Michael,,Brenner
60,Rachel Feldhay Brenner,1,Rachel,Feldhay,Brenner
2934,Yosef Haim Brenner,1,Yosef,Haim,Brenner
3214,Johannes Brenz,1,Johannes,,Brenz
2942,Walter Breslauer,1,Walter,,Breslauer
11,Marc Brettler,1,Marc,,Brettler
11,Marc Zvi Brettler,1,Marc,Zvi,Brettler
1691,Mordecai Breuer,2,Mordecai,,Breuer
1691,Mordechai Breuer,1,Mordechai,,Breuer
3575,Augustus Bridle,1,Augustus,,Bridle
2945,Nehemiah Briill,1,Nehemiah,,Briill
1547,Gershon Brin,2,Gershon,,Brin
769,Menachem Brinker,2,Menachem,,Brinker
3548,Carl Brisch,1,Carl,,Brisch
1098,Amelia Bristow,2,Amelia,,Bristow
1960,Michael Brocke,2,Michael,,Brocke
1267,Arthur Brodey,2,Arthur,,Brodey
930,Karen Brodkin,2,Karen,,Brodkin
2463,Robert Brody,1,Robert,,Brody
386,Seth Brody,2,Seth,,Brody
466,Yoram Bronowsky,2,Yoram,,Bronowsky
3295,Vincent Brook,1,Vincent,,Brook
2661,Jeffrey Brooks,1,Jeffrey,,Brooks
2748,Peter Brooks,1,Peter,,Brooks
2867,Bemadette Brooten,1,Bemadette,,Brooten
2573,Peter Browe,1,Peter,,Browe
1021,Benjamin Brown,2,Benjamin,,Brown
123,Michael Brown,3,Michael,,Brown
3430,Peter Brown,1,Peter,,Brown
3178,Robert Craig Brown,1,Robert,Craig,Brown
2819,Rogers Brubaker,1,Rogers,,Brubaker
485,Iris Bruce,2,Iris,,Bruce
1186,Walter Brueggemann,2,Walter,,Brueggemann
3466,Joan Jacobs Brumberg,1,Joan,Jacobs,Brumberg
214,Jonathan Brumberg-Kraus,2,Jonathan,,Brumberg
356,Palmira Brummet,2,Palmira,,Brummet
2880,Yoram Brunovsky,1,Yoram,,Brunovsky
2054,Gerald Bruns,2,Gerald,,Bruns
2531,Maria Brzezina,1,Maria,,Brzezina
3122,Martin Buber,1,Martin,,Buber
1766,Tanhuma Buber,2,Tanhuma,,Buber
971,Gedaliah Bublik,2,Gedaliah,,Bublik
3589,Arend Buchholtz,1,Arend,,Buchholtz
1860,Adolph Buchler,2,Adolph,,Büchler
2877,Christopher Buck,1,Christopher,,Buck
367,Ruth Bundi,2,Ruth,,Bundi
2326,William Burden,1,William,,Burden
2849,Glenn Burgess,1,Glenn,,Burgess
1404,Walter Burkert,2,Walter,,Burkert
513,Miller Burrows,2,Miller,,Burrows
49,Janet Handler Burstein,1,Janet,Handler,Burstein
1511,Douglas Burton-Christie,2,Douglas,,Burton
